"","GSM452235","GSM452236","GSM452237","GSM452238","GSM452239","GSM452240","GSM452241","GSM452242","GSM452243","GSM452244","GSM452245","GSM452246","GSM452247","GSM452248","GSM452249","GSM452250","GSM452251","GSM452252","GSM452253","GSM452254","GSM452255","GSM452256","GSM452257","GSM452258","GSM452259","GSM452260"
"PDE4D",0.261918958972009,-0.68751322903151,-0.398852237605831,0.00464298090436044,0.071013086836063,-0.823028718100056,-0.856019449787207,-0.448646416843499,-0.421718446802585,-0.401139896012312,-0.813035645187936,-0.102147610975868,-0.724990364912378,-0.353669687219324,-0.755666774782143,-0.812281392280221,-0.350579014025262,-0.750641188695524,1.4491669850294,1.25706592809334,-0.669524245308166,2.65706099851944,0.156914919371127,0.237548393907047,0.524517244352694,2.74960482158434
"SEPT2",0.447276349726686,-0.531666612809437,0.0649202885763232,-0.579434749488238,-0.513202351058311,0.0987439175913639,0.00908263660912115,-0.166433333886553,1.4636133406254,-0.205943918830902,0.723621131598044,1.06722333984304,1.66038660203426,0.257130226477387,2.06984742894447,1.00230490340807,1.15734324630345,0.312440459144694,-0.703586959556258,-1.71186131454875,-0.830424421798965,-1.57640398644383,-0.917079412771803,-0.980727456632241,-0.188240975373539,-1.42892837768348
"D21S2088E",-0.472695145590637,-0.584985107883813,-0.712127222341534,-0.613885915662473,-0.571003080472977,-0.641889551595002,-0.639809894061968,-0.691819308809003,-0.681460107490805,0.659875462094264,0.887806587399986,-0.494560410914163,-0.652384318217891,-0.151672545971161,-0.697388371106822,0.0466898403101606,-0.415734628639064,-0.65811533322764,0.361877524503884,0.263040192263808,-0.0857238184287588,3.82132763443339,-0.46681075377631,0.949025372194773,1.06737289366228,1.17505000732747
"C1orf145",-0.662554628035964,0.228324751688075,-0.512801330634473,-0.947564254807667,-0.899204385047331,-1.11573782366488,-0.563962682112609,0.160769645385568,0.189856440700777,-0.0469551372141045,-0.329117535430305,-0.163111137660662,-0.628977814739703,0.036269967973004,-1.10853781764143,-1.05248565126088,-1.22773632418951,0.357221587829041,1.03648702096009,0.0627143713194373,0.530117322798929,2.41126142854962,2.74405943100469,-0.252870529964357,1.10379632335852,0.650738760836131
"LOC286058",-1.12753337090272,-0.501833528144793,0.686793657954759,-0.871536967346488,-1.38642217986728,0.602111394402026,0.0391696627733344,-0.673323924664907,-0.561674414070511,-0.536128010377048,-1.40047629897045,-0.676100864069491,-0.195586031995249,-0.949791263650528,-0.422651187324714,-0.761275926454384,0.698516514845353,-0.28793005841296,1.2778141318013,1.42961056039383,0.168498781105462,-0.108285100195707,1.31565532679641,0.659067428770133,2.76970324448329,0.813608423121338
"LARGE-AS1",-0.780686027546356,-0.294392353418644,-0.667079409135659,-0.316826210221982,-0.642823630581407,-0.0545619737838065,-0.51525624770529,-0.239146866418486,-0.521533784372768,-0.709108965412254,-0.435215829622052,-0.506000593118984,-0.628810533026281,-0.443939633971118,-0.0443375485136475,-0.662256245542558,-0.105897083639218,-0.583311171197345,1.7854597238767,-0.276422630872055,2.43594785843146,-0.12698123354759,1.69560502590076,-0.31909478880829,0.0903982506035406,2.86627190164332
"FLJ35934",-0.996423772261496,0.476123947612586,-0.444428401212373,-1.01450914340501,-0.38099563101514,0.0258682264431649,-0.610524556379229,-0.642464473526849,-0.927353849464238,-0.697819002721368,-0.973473988448948,-0.766459625556964,-1.02660800060039,0.535470966450557,-0.503057452873083,1.39839349628419,-0.871494522728593,-0.822961421890406,0.332826581099349,1.07911275238362,2.34266096712921,2.35931484495229,0.348236969378304,0.806181600895552,0.188245755735214,0.786137733720044
"TARDBP",0.942368134983758,-0.060436328487086,0.245246662425224,-0.156082485906027,0.633656553720998,-1.39353449004237,1.45578241087941,0.998833610031111,1.2304252757484,1.32427064971573,-0.0516506880110058,-1.07340430462048,0.514954911201784,-0.114528043530033,1.00072988957486,0.312680545768802,1.11925418220869,1.08005985753822,-0.165277395348384,-1.87888246446063,-0.340594578202586,-1.59281437087209,-0.933870871717762,-1.0620129850591,-0.840762181889739,-1.19441149564972
"HSP90B1 /// MIR3652",0.713749058890068,-0.805758011255782,-0.658588719193836,-0.461151304477937,-0.354214000360828,-0.261385152394615,0.670423963593508,0.397582745468747,3.79796035316869,0.42475674618179,0.405971382160854,0.425091427954577,-0.109293879035459,1.33071871274318,-0.00372337209366682,-0.26210093954093,1.01428249466638,-0.580156585550564,-0.762936018237024,-0.767150849336893,-0.588756827492562,-0.776056623348887,-0.583070476211053,-0.802141288872441,-0.439579444793896,-0.964473392631423
"MLEC",0.695190315782173,-0.677006970881948,-0.688966517247224,-0.586131301289884,0.247497005692242,-0.461386588507634,2.01449819692427,0.84846965660671,2.81515061445205,0.376029452762766,0.64237443206157,-0.0319021779041783,0.295403266895406,1.21599697284561,0.822919469096377,-0.0473254180255174,0.407788147949062,-0.473465948178937,-0.952035691838053,-1.12269068506624,-0.643353047036675,-0.798933347942874,-1.08466629858065,-0.938662893067591,-0.799635889600943,-1.07515475589989
"RPS20 /// SNORD54",-0.988434169337962,-0.998257042103304,-0.8748322068502,-1.13134867667166,0.0688171361949302,0.0240435651989812,-0.606844338446776,-0.0352936096089408,-1.17595641962688,-0.343977630124587,0.0935255142630652,-0.374119315174148,-0.863487617946433,-1.08871136102388,-0.380362253177941,-0.562558496982372,0.13624086663589,0.308428900452992,0.10652838357409,2.7931767535062,0.110108318335639,1.97598592340039,0.980159275070435,0.403194748432435,0.637617070474845,1.78635668153519
"EIF5B",0.90314094418799,-0.844247310763303,-0.0800686041035908,-0.80423855174143,-0.214537206491033,-1.00311288930334,2.05782339384827,1.11239778290292,0.573496532579772,0.520471615976875,0.0184700790006626,1.45852869359477,0.532118652526732,0.98816906489441,1.31807969448091,-0.202823615446607,0.729604853487601,0.567173855595565,-0.979162779042863,-1.09184904613584,0.00927605096497999,-1.28437218335873,-0.366956506842663,-1.2528348607172,-0.77561061129113,-1.88893704880373
"PSMD1",0.375129955508862,0.132874842032889,-0.862444398198991,-0.641935953500714,0.494036146196427,-0.82787018190665,1.38236379546572,1.55805786294983,1.65998406617623,1.92521012403723,0.576087854683835,-0.463768092005908,0.05909014924449,0.652224334635463,0.980485861309819,0.0446680984474417,0.367191096158211,-0.0510273412928324,0.369467154933358,-1.55012126897832,-0.783548039215021,-1.5030013830603,-1.44548146517896,-0.552891990513688,-0.575463257294949,-1.31931797063349
"RRBP1",0.297710792365193,-0.467816371682049,-0.182195651516514,-0.0569982745754195,-0.179556860493855,-0.00129326982913998,0.00519638847539046,-0.161691361464846,0.972471120709576,-0.565556433613684,4.15125474264205,0.792111648179974,0.0302459644991027,0.464396529595561,0.0682496055431421,0.0662673558275559,0.39433599665424,0.317293399428084,-0.847153313114522,-0.884622883056846,-0.475525681722411,-1.30115415211445,-0.461040107845392,-0.562384834068746,-0.557754955274444,-0.854789393547557
"MTHFD2",0.58536944016627,0.120413437890764,-0.543865880034512,0.499497534457929,1.1233109165407,0.215290319904484,1.3488164125141,0.74496076788557,-0.181563784763733,-0.0831724214019898,0.468318862579276,-0.143906611123061,0.133511585244042,-0.354507318728938,1.83223402765392,0.840359882067469,-0.113885318644158,1.43583158323927,-2.00175601805405,-2.25074079002117,-0.929626079724629,-1.04062158703732,-1.66305175959355,0.139651341815891,0.0365740033234489,-0.217442546156009
