"ID","adj.P.Val","P.Value","t","B","logFC","GB_ACC","SPOT_ID","Gene.Symbol","Gene.Title"
"230052_s_at",0.0411129624000724,3.20621551389003e-05,-4.849603428801,2.37141564872882,-1.11670533574399,"AA004799","","NFKBID","nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, delta"
"222692_s_at",0.0411129624000724,3.09738837910297e-05,4.86160442356062,2.32828609406267,1.67291461806964,"BF444916","","FNDC3B /// LOC101928615","fibronectin type III domain containing 3B /// uncharacterized LOC101928615"
"213537_at",0.0442635642238121,3.64406521748142e-05,-4.80509607187343,2.24512410246704,-1.4945273232988,"AI128225","","HLA-DPA1","major histocompatibility complex, class II, DP alpha 1"
"243837_x_at",0.0411129624000724,3.17073204409306e-05,-4.85347128858413,2.20415784046776,-1.45275305871812,"AA639707","","AC018816.3",""
"213330_s_at",0.0442635642238121,3.85119177868411e-05,4.78586432901951,2.18333183592037,0.991269627902398,"BE886580","","STIP1","stress-induced phosphoprotein 1"
"217868_s_at",0.0442635642238121,3.94314439311595e-05,-4.77765379530942,2.1648794657393,-0.731365092114903,"NM_016025","","METTL9","methyltransferase like 9"
"207623_at",0.0442635642238121,4.17771537192935e-05,-4.75754091078253,2.12904486800129,-1.04601657498774,"NM_005692","","ABCF2","ATP-binding cassette, sub-family F (GCN20), member 2"
"204562_at",0.0442635642238121,4.22783045639361e-05,4.7533895562312,2.11990972394752,1.54305185790257,"NM_002460","","IRF4","interferon regulatory factor 4"
"206448_at",0.0442635642238121,4.10503403095866e-05,-4.76365031138103,2.11137654114116,-0.939721843436601,"NM_014951","","ZNF365","zinc finger protein 365"
"224806_at",0.0442635642238121,4.39004458697909e-05,4.74027976943355,2.07010120663285,0.988746254660105,"BE563152","","TRIM25","tripartite motif containing 25"
"200598_s_at",0.0442635642238121,4.61458282717383e-05,4.7229056089427,2.03785560407346,2.03761768676427,"AI582238","","HSP90B1 /// MIR3652","heat shock protein 90kDa beta (Grp94), member 1 /// microRNA 3652"
"234339_s_at",0.0442635642238121,4.58724131429786e-05,-4.72497578561066,2.03457799149604,-0.95956142506531,"AF296124","","GLTSCR2 /// SNORD23","glioma tumor suppressor candidate region gene 2 /// small nucleolar RNA, C/D box 23"
"200949_x_at",0.0442635642238121,4.59965899643679e-05,-4.72403406033562,2.01035917586954,-0.603628191151028,"NM_001023","","RPS20 /// SNORD54","ribosomal protein S20 /// small nucleolar RNA, C/D box 54"
"226043_at",0.0453645189742902,4.97253446222667e-05,-4.69687256697298,1.97113273860444,-0.967981752709088,"AI242661","","GPSM1","G-protein signaling modulator 1"
"201198_s_at",0.0453645189742902,5.06855007606716e-05,4.69020580456091,1.95088023567815,1.07521247560147,"AI860431","","PSMD1","proteasome (prosome, macropain) 26S subunit, non-ATPase, 1"
"224330_s_at",0.0453645189742902,5.10932949304396e-05,4.68741215403483,1.94262690408353,1.18491764723988,"AB049647","","MRPL27","mitochondrial ribosomal protein L27"
"244164_at",0.0442635642238121,4.43388653890027e-05,-4.73681910900029,1.93217353144241,-1.17565257726839,"BE551248","","FAM223B","family with sequence similarity 223, member B (non-protein coding)"
"222644_s_at",0.0442635642238121,4.05374787998058e-05,-4.76802629795693,1.93012699089355,-1.73445205715684,"AI924150","","COLGALT1","collagen beta(1-O)galactosyltransferase 1"
"219402_s_at",0.0453645189742902,5.2117044390986e-05,4.68049515013763,1.90743996566029,1.0393097142318,"NM_024295","","DERL1","derlin 1"
"235407_at",0.0453645189742902,5.33892604259167e-05,-4.67208483540048,1.9060974177829,-1.36250790318897,"BG435723","","RABGEF1","RAB guanine nucleotide exchange factor (GEF) 1"
"203501_at",0.0453645189742902,5.4761010558814e-05,-4.66323641582354,1.88176271949615,-0.982084517616543,"NM_006102","","CPQ","carboxypeptidase Q"
"201206_s_at",0.0453645189742902,5.40159779693017e-05,4.66801457436007,1.87975720760021,1.28071365235317,"NM_004587","","RRBP1","ribosome binding protein 1"
"225291_at",0.0453645189742902,5.47380477752443e-05,4.66338271879382,1.87817380390857,1.23445728548493,"AI967971","","PNPT1","polyribonucleotide nucleotidyltransferase 1"
"205692_s_at",0.0456117762143924,5.5893717537527e-05,4.65609410154233,1.85140612085466,1.92462000931623,"NM_001775","","CD38","CD38 molecule"
"221734_at",0.0457200767245576,5.79643430422501e-05,4.64340109987368,1.8296110872667,1.34503119237106,"BE328312","","PRRC1","proline-rich coiled-coil 1"
"210102_at",0.0482541372979867,6.52820332494943e-05,4.60188845674676,1.72191909836218,0.836513737594423,"BC001234","","VWA5A","von Willebrand factor A domain containing 5A"
"219159_s_at",0.0482541372979867,6.86982852730867e-05,4.58406448195389,1.67471740722449,1.70701897819554,"NM_021181","","SLAMF7","SLAM family member 7"
"218309_at",0.0482541372979867,6.87213134647411e-05,-4.58394733888878,1.67061204168765,-0.889296347359942,"NM_018584","","CAMK2N1","calcium/calmodulin-dependent protein kinase II inhibitor 1"
"218358_at",0.0482541372979867,6.86808267281076e-05,4.58415331847826,1.64953995379527,1.29005631390446,"NM_024324","","CRELD2","cysteine-rich with EGF-like domains 2"
"241370_at",0.0482541372979867,7.06978668322946e-05,-4.57403492242792,1.64200133954585,-0.781134557803552,"AA278233","","LOC286052","uncharacterized LOC286052"
"216640_s_at",0.0482541372979867,7.12040019042243e-05,4.57154079819361,1.63170654754418,1.53157873537122,"AK026926","","PDIA6","protein disulfide isomerase family A, member 6"
"210910_s_at",0.0482541372979867,7.23936857746513e-05,-4.56574675687141,1.62620002581368,-1.22809375145788,"BC000487","","POMZP3","POM121 and ZP3 fusion"
"233180_at",0.0457200767245576,5.93016088373203e-05,-4.63544038888539,1.62274422846265,-2.25048361143787,"AU147152","","",""
