"Gene.Symbol","ID","GB_ACC","SPOT_ID","Species.Scientific.Name","Annotation.Date","Sequence.Type","Sequence.Source","Target.Description","Representative.Public.ID","Gene.Title","ENTREZ_GENE_ID","RefSeq.Transcript.ID","Gene.Ontology.Biological.Process","Gene.Ontology.Cellular.Component","Gene.Ontology.Molecular.Function","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID"
"CD52","204661_at","NM_001803","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_001803.1 /DB_XREF=gi:4502760 /GEN=CDW52 /FEA=FLmRNA /CNT=83 /TID=Hs.276770.0 /TIER=FL+Stack /STK=33 /UG=Hs.276770 /LL=1043 /DEF=Homo sapiens CDW52 antigen (CAMPATH-1 antigen) (CDW52), mRNA. /PROD=CDW52 antigen (CAMPATH-1 antigen) /FL=gb:BC000644.1 gb:NM_001803.1","NM_001803","CD52 molecule","1043","NM_001803","0007204 // positive regulation of cytosolic calcium ion concentration // inferred from direct assay /// 0045730 // respiratory burst // non-traceable author statement","0005886 // plasma membrane // inferred from electronic annotation /// 0005887 // integral component of plasma membrane // traceable author statement /// 0016020 // membrane // traceable author statement /// 0031225 // anchored component of membrane // inferred from electronic annotation","",-0.986858513686634,11.7288090386587,-5.93813601842238,1.39208604071869e-06,0.0126853840460491,5.3117929810114,"1043"
"CD82","228910_at","AI870617","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AI870617 /DB_XREF=gi:5544585 /DB_XREF=wl75e12.x1 /CLONE=IMAGE:2430766 /FEA=EST /CNT=13 /TID=Hs.164261.0 /TIER=Stack /STK=11 /UG=Hs.164261 /UG_TITLE=ESTs, Weakly similar to S51797 vasodilator-stimulated phosphoprotein (H.sapiens)","AI870617","CD82 molecule","3732","NM_001024844 /// NM_002231 /// XM_006718222 /// XM_006718223","","0005886 // plasma membrane // traceable author statement /// 0005887 // integral component of plasma membrane // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation /// 0070062 // extracellular vesicular exosome // inferred from direct assay","0005515 // protein binding // inferred from physical interaction",-0.901767089560526,5.57928715993709,-4.51096946539577,8.46595860190146e-05,0.0490147523319028,1.46963310951538,"3732"
"COA7","219420_s_at","NM_023077","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_023077.1 /DB_XREF=gi:12751490 /GEN=FLJ12439 /FEA=FLmRNA /CNT=30 /TID=Hs.164371.0 /TIER=FL /STK=4 /UG=Hs.164371 /LL=65260 /DEF=Homo sapiens hypothetical protein FLJ12439 (FLJ12439), mRNA. /PROD=hypothetical protein FLJ12439 /FL=gb:NM_023077.1","NM_023077","cytochrome c oxidase assembly factor 7 (putative)","65260","NM_023077","","0005739 // mitochondrion // inferred from electronic annotation /// 0005758 // mitochondrial intermembrane space // inferred from electronic annotation","",0.915620219360207,6.84543366196691,5.32860081391877,8.05546237070681e-06,0.025920461276264,3.61376382475115,"65260"
"COLGALT1","222644_s_at","AI924150","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AI924150 /DB_XREF=gi:5660114 /DB_XREF=wn64c01.x1 /CLONE=IMAGE:2450208 /FEA=FLmRNA /CNT=88 /TID=Hs.61478.0 /TIER=Stack /STK=10 /UG=Hs.61478 /LL=79709 /UG_GENE=FLJ22329 /UG_TITLE=hypothetical protein FLJ22329 /FL=gb:NM_024656.1","AI924150","collagen beta(1-O)galactosyltransferase 1","79709","NM_024656 /// XM_005260080","0008152 // metabolic process // inferred from electronic annotation /// 0009103 // lipopolysaccharide biosynthetic process // inferred from electronic annotation /// 0030198 // extracellular matrix organization // traceable author statement","0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005788 // endoplasmic reticulum lumen // inferred from direct assay /// 0005788 // endoplasmic reticulum lumen // traceable author statement /// 0016020 // membrane // inferred from direct assay","0016740 // transferase activity // inferred from electronic annotation /// 0016757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// 0050211 // procollagen galactosyltransferase activity // inferred from electronic annotation",-1.73445205715684,4.17898181156614,-4.76802629795693,4.05374787998058e-05,0.0442635642238121,1.93012699089355,"79709"
"CPQ","203501_at","NM_006102","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_006102.1 /DB_XREF=gi:5174626 /GEN=PGCP /FEA=FLmRNA /CNT=120 /TID=Hs.197335.0 /TIER=FL /STK=0 /UG=Hs.197335 /LL=10404 /DEF=Homo sapiens plasma glutamate carboxypeptidase (PGCP), mRNA. /PROD=plasma glutamate carboxypeptidase /FL=gb:AF119386.1 gb:NM_006102.1","NM_006102","carboxypeptidase Q","10404","NM_016134 /// XM_005250755 /// XM_006716498 /// XR_428374","0006508 // proteolysis // inferred from direct assay /// 0006590 // thyroid hormone generation // inferred from sequence or structural similarity /// 0008152 // metabolic process // inferred from electronic annotation /// 0042246 // tissue regeneration // inferred from sequence or structural similarity /// 0043171 // peptide catabolic process // inferred from direct assay","0005576 // extracellular region // inferred from electronic annotation /// 0005615 // extracellular space // inferred from direct assay /// 0005737 // cytoplasm // inferred from direct assay /// 0005764 // lysosome // inferred from sequence or structural similarity /// 0005783 // endoplasmic reticulum // inferred from sequence or structural similarity /// 0005794 // Golgi apparatus // inferred from sequence or structural similarity /// 0070062 // extracellular vesicular exosome // inferred from direct assay","0004180 // carboxypeptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008237 // metallopeptidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0042803 // protein homodimerization activity // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation /// 0070573 // metallodipeptidase activity // inferred from direct assay",-0.982084517616543,7.48987300292473,-4.66323641582354,5.4761010558814e-05,0.0453645189742902,1.88176271949615,"10404"
"CRELD2","218358_at","NM_024324","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_024324.1 /DB_XREF=gi:13236568 /GEN=MGC11256 /FEA=FLmRNA /CNT=103 /TID=Hs.28029.0 /TIER=FL+Stack /STK=54 /UG=Hs.28029 /LL=79174 /DEF=Homo sapiens hypothetical protein MGC11256 (MGC11256), mRNA. /PROD=hypothetical protein MGC11256 /FL=gb:NM_024324.1 gb:BC002894.1","NM_024324","cysteine-rich with EGF-like domains 2","79174","NM_001135101 /// NM_001284317 /// NM_001284318 /// NM_024324 /// NR_104295 /// XM_005261737 /// XM_005261738","","0005576 // extracellular region // inferred from electronic annotation /// 0005615 // extracellular space // inferred from electronic annotation /// 0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from electronic annotation","0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction",1.29005631390446,11.2809557994423,4.58415331847826,6.86808267281076e-05,0.0482541372979867,1.64953995379527,"79174"
"CXCL1","204470_at","NM_001511","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_001511.1 /DB_XREF=gi:4504152 /GEN=GRO1 /FEA=FLmRNA /CNT=58 /TID=Hs.789.0 /TIER=FL+Stack /STK=30 /UG=Hs.789 /LL=2919 /DEF=Homo sapiens GRO1 oncogene (melanoma growth stimulating activity, alpha) (GRO1), mRNA. /PROD=GRO1 oncogene (melanoma growth stimulatingactivity, alpha) /FL=gb:NM_001511.1","NM_001511","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)","2919","NM_001511 /// NR_046035","0006935 // chemotaxis // traceable author statement /// 0006954 // inflammatory response // inferred from electronic annotation /// 0006955 // immune response // inferred from electronic annotation /// 0007165 // signal transduction // traceable author statement /// 0007186 // G-protein coupled receptor signaling pathway // traceable author statement /// 0007399 // nervous system development // traceable author statement /// 0008283 // cell proliferation // traceable author statement /// 0008285 // negative regulation of cell proliferation // traceable author statement /// 0030036 // actin cytoskeleton organization // traceable author statement /// 0035556 // intracellular signal transduction // traceable author statement /// 0043085 // positive regulation of catalytic activity // traceable author statement /// 0060326 // cell chemotaxis // inferred from electronic annotation /// 0060326 // cell chemotaxis // traceable author statement","0005576 // extracellular region // traceable author statement /// 0005615 // extracellular space // inferred from electronic annotation","0005102 // receptor binding // traceable author statement /// 0005125 // cytokine activity // inferred from electronic annotation /// 0008009 // chemokine activity // inferred from electronic annotation /// 0008047 // enzyme activator activity // traceable author statement /// 0008083 // growth factor activity // inferred from electronic annotation",-1.87134823872638,5.25315518978175,-4.95153367776211,2.39075289181182e-05,0.0395746709024247,2.57300769332364,"2919"
"CYP7A1","207406_at","NM_000780","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_000780.2 /DB_XREF=gi:13787185 /GEN=CYP7A1 /FEA=FLmRNA /CNT=10 /TID=Hs.1644.0 /TIER=FL /STK=0 /UG=Hs.1644 /LL=1581 /DEF=Homo sapiens cytochrome P450, subfamily VIIA (cholesterol 7 alpha-monooxygenase), polypeptide 1 (CYP7A1), nuclear gene encoding mitochondrial protein, mRNA. /PROD=cytochrome P450, subfamily VIIA, polypeptide 1 /FL=gb:NM_000780.2 gb:M93133.1","NM_000780","cytochrome P450, family 7, subfamily A, polypeptide 1","1581","NM_000780","0006629 // lipid metabolic process // inferred from electronic annotation /// 0006699 // bile acid biosynthetic process // inferred from direct assay /// 0006699 // bile acid biosynthetic process // inferred from electronic annotation /// 0006699 // bile acid biosynthetic process // inferred from sequence or structural similarity /// 0006699 // bile acid biosynthetic process // traceable author statement /// 0006707 // cholesterol catabolic process // inferred from sequence or structural similarity /// 0006805 // xenobiotic metabolic process // traceable author statement /// 0008202 // steroid metabolic process // inferred from electronic annotation /// 0008203 // cholesterol metabolic process // inferred from electronic annotation /// 0008206 // bile acid metabolic process // traceable author statement /// 0016125 // sterol metabolic process // traceable author statement /// 0042632 // cholesterol homeostasis // inferred from sequence or structural similarity /// 0044255 // cellular lipid metabolic process // traceable author statement /// 0044281 // small molecule metabolic process // traceable author statement /// 0055114 // oxidation-reduction process // inferred from electronic annotation /// 0070857 // regulation of bile acid biosynthetic process // inferred from direct assay /// 0070857 // regulation of bile acid biosynthetic process // inferred from sequence or structural similarity /// 0071333 // cellular response to glucose stimulus // inferred from direct assay /// 0071397 // cellular response to cholesterol // inferred from sequence or structural similarity","0005783 // endoplasmic reticulum // inferred from electronic annotation /// 0005789 // endoplasmic reticulum membrane // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0031090 // organelle membrane // inferred from electronic annotation /// 0043231 // intracellular membrane-bounded organelle // inferred from sequence or structural similarity","0004497 // monooxygenase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0008123 // cholesterol 7-alpha-monooxygenase activity // inferred from sequence or structural similarity /// 0009055 // electron carrier activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016705 // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen // inferred from electronic annotation /// 0020037 // heme binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation",-2.55278972124953,0.373154344444311,-4.93164677190698,2.53171964835788e-05,0.0395746709024247,1.55965837610686,"1581"
"D21S2088E","1559470_at","AY063451","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AY063451.1 /DB_XREF=gi:21391489 /TID=Hs2.145622.1 /CNT=7 /FEA=mRNA /TIER=ConsEnd /STK=0 /LL=266917 /UG_GENE=D21S2088E /UG=Hs.145622 /UG_TITLE=D21S2088E /DEF=Homo sapiens D21S2088E mRNA sequence.","AY063451","D21S2088E","266917","NR_040254","","","",-2.29134702481361,1.41626731686889,-4.56967852672317,7.15842530326595e-05,0.0482541372979867,0.897392325134593,"266917"
"DDX52","210320_s_at","AF077033","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:AF077033.1 /DB_XREF=gi:4689113 /FEA=FLmRNA /CNT=9 /TID=Hs.99423.0 /TIER=FL /STK=0 /UG=Hs.99423 /LL=11056 /UG_GENE=ROK1 /DEF=Homo sapiens putative ATP-dependent RNA helicase ROK1 mRNA, complete cds. /PROD=putative ATP-dependent RNA helicase ROK1 /FL=gb:AF077033.1","AF077033","DEAD (Asp-Glu-Ala-Asp) box polypeptide 52","11056","NM_001291476 /// NM_007010 /// NM_152300 /// XM_006721650 /// XM_006725299","0008152 // metabolic process // inferred from electronic annotation","0005634 // nucleus // inferred from direct assay /// 0005730 // nucleolus // inferred from direct assay /// 0016020 // membrane // inferred from direct assay","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0004386 // helicase activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay",0.678975342132192,7.32961043652894,4.50158572820061,8.69580425458541e-05,0.0490147523319028,1.45954546725771,"11056"
"DERL1","219402_s_at","NM_024295","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_024295.1 /DB_XREF=gi:13236515 /GEN=MGC3067 /FEA=FLmRNA /CNT=42 /TID=Hs.323114.0 /TIER=FL /STK=0 /UG=Hs.323114 /LL=79139 /DEF=Homo sapiens hypothetical protein MGC3067 (MGC3067), mRNA. /PROD=hypothetical protein MGC3067 /FL=gb:BC002457.1 gb:NM_024295.1","NM_024295","derlin 1","79139","NM_001134671 /// NM_024295 /// XM_006716657","0006810 // transport // inferred from electronic annotation /// 0006986 // response to unfolded protein // inferred from mutant phenotype /// 0015031 // protein transport // inferred from electronic annotation /// 0016032 // viral process // inferred from electronic annotation /// 0019048 // modulation by virus of host morphology or physiology // inferred from electronic annotation /// 0019060 // intracellular transport of viral protein in host cell // traceable author statement /// 0030433 // ER-associated ubiquitin-dependent protein catabolic process // inferred from direct assay /// 0030968 // endoplasmic reticulum unfolded protein response // inferred from direct assay /// 0030970 // retrograde protein transport, ER to cytosol // inferred from direct assay /// 0030970 // retrograde protein transport, ER to cytosol // inferred from mutant phenotype /// 0034620 // cellular response to unfolded protein // inferred from electronic annotation /// 0045184 // establishment of protein localization // traceable author statement","0000836 // Hrd1p ubiquitin ligase complex // inferred from direct assay /// 0005769 // early endosome // inferred from electronic annotation /// 0005770 // late endosome // inferred from electronic annotation /// 0005783 // endoplasmic reticulum // inferred from direct assay /// 0005783 // endoplasmic reticulum // inferred from mutant phenotype /// 0005789 // endoplasmic reticulum membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from direct assay /// 0030176 // integral component of endoplasmic reticulum membrane // inferred from direct assay","0004872 // receptor activity // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0042288 // MHC class I protein binding // inferred from direct assay",1.0393097142318,11.2269899995976,4.68049515013763,5.2117044390986e-05,0.0453645189742902,1.90743996566029,"79139"
"EGR3","206115_at","NM_004430","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_004430.1 /DB_XREF=gi:4758251 /GEN=EGR3 /FEA=FLmRNA /CNT=33 /TID=Hs.74088.0 /TIER=FL+Stack /STK=20 /UG=Hs.74088 /LL=1960 /DEF=Homo sapiens early growth response 3 (EGR3), mRNA. /PROD=early growth response 3 /FL=gb:NM_004430.1","NM_004430","early growth response 3","1960","NM_001199880 /// NM_001199881 /// NM_004430 /// XM_005273425 /// XM_005273426","0001938 // positive regulation of endothelial cell proliferation // inferred from mutant phenotype /// 0002042 // cell migration involved in sprouting angiogenesis // inferred from direct assay /// 0006351 // transcription, DNA-templated // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-templated // inferred from electronic annotation /// 0007274 // neuromuscular synaptic transmission // inferred from electronic annotation /// 0007422 // peripheral nervous system development // inferred from electronic annotation /// 0007517 // muscle organ development // traceable author statement /// 0007623 // circadian rhythm // traceable author statement /// 0035767 // endothelial cell chemotaxis // inferred from mutant phenotype /// 0035924 // cellular response to vascular endothelial growth factor stimulus // inferred from mutant phenotype /// 0043066 // negative regulation of apoptotic process // inferred from mutant phenotype /// 0044344 // cellular response to fibroblast growth factor stimulus // inferred from mutant phenotype /// 0071320 // cellular response to cAMP // not recorded /// 0071371 // cellular response to gonadotropin stimulus // not recorded","0005634 // nucleus // not recorded /// 0005737 // cytoplasm // not recorded","0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // sequence-specific DNA binding transcription factor activity // traceable author statement /// 0046872 // metal ion binding // inferred from electronic annotation",-2.26603536941447,7.40921482849002,-4.97321394071567,2.24596771424811e-05,0.0392349920845241,2.70398371729776,"1960"
"EIF5B","201026_at","AB018284","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AB018284.1 /DB_XREF=gi:3882202 /GEN=KIAA0741 /FEA=FLmRNA /CNT=374 /TID=Hs.158688.0 /TIER=ConsEnd /STK=0 /UG=Hs.158688 /LL=9669 /DEF=Homo sapiens mRNA for KIAA0741 protein, complete cds. /PROD=KIAA0741 protein /FL=gb:AF078035.1 gb:AB018284.1 gb:NM_015904.1","AB018284","eukaryotic translation initiation factor 5B","9669","NM_015904 /// XM_005264075","0006184 // GTP catabolic process // inferred from electronic annotation /// 0006412 // translation // traceable author statement /// 0006413 // translational initiation // traceable author statement /// 0006446 // regulation of translational initiation // inferred from direct assay /// 0006446 // regulation of translational initiation // non-traceable author statement /// 0010467 // gene expression // traceable author statement /// 0044267 // cellular protein metabolic process // traceable author statement","0005737 // cytoplasm // inferred from electronic annotation /// 0005829 // cytosol // traceable author statement","0000166 // nucleotide binding // inferred from electronic annotation /// 0003743 // translation initiation factor activity // inferred from direct assay /// 0003743 // translation initiation factor activity // non-traceable author statement /// 0003924 // GTPase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005525 // GTP binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay",1.06915406186773,7.77589853902713,4.4801553342922,9.24412272694822e-05,0.049551216676068,1.40234827782714,"9669"
"ELK1","210850_s_at","AF000672","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:AF000672.1 /DB_XREF=gi:4100455 /FEA=FLmRNA /CNT=2 /TID=Hs.181128.1 /TIER=FL /STK=0 /UG=Hs.181128 /LL=2002 /UG_GENE=ELK1 /DEF=Homo sapiens ELK variant mRNA, complete cds. /PROD=ELK variant /FL=gb:AF000672.1","AF000672","ELK1, member of ETS oncogene family","2002","NM_001114123 /// NM_001257168 /// NM_005229","0002224 // toll-like receptor signaling pathway // traceable author statement /// 0002755 // MyD88-dependent toll-like receptor signaling pathway // traceable author statement /// 0002756 // MyD88-independent toll-like receptor signaling pathway // traceable author statement /// 0006351 // transcription, DNA-templated // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-templated // inferred from electronic annotation /// 0006366 // transcription from RNA polymerase II promoter // not recorded /// 0030154 // cell differentiation // not recorded /// 0034134 // toll-like receptor 2 signaling pathway // traceable author statement /// 0034138 // toll-like receptor 3 signaling pathway // traceable author statement /// 0034142 // toll-like receptor 4 signaling pathway // traceable author statement /// 0034146 // toll-like receptor 5 signaling pathway // traceable author statement /// 0034162 // toll-like receptor 9 signaling pathway // traceable author statement /// 0034166 // toll-like receptor 10 signaling pathway // traceable author statement /// 0035666 // TRIF-dependent toll-like receptor signaling pathway // traceable author statement /// 0038123 // toll-like receptor TLR1:TLR2 signaling pathway // traceable author statement /// 0038124 // toll-like receptor TLR6:TLR2 signaling pathway // traceable author statement /// 0045087 // innate immune response // traceable author statement /// 0045893 // positive regulation of transcription, DNA-templated // inferred from direct assay /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from direct assay /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from mutant phenotype /// 0048011 // neurotrophin TRK receptor signaling pathway // traceable author statement /// 0051403 // stress-activated MAPK cascade // traceable author statement","0005634 // nucleus // inferred by curator /// 0005634 // nucleus // inferred from direct assay /// 0005730 // nucleolus // inferred from direct assay","0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0000981 // sequence-specific DNA binding RNA polymerase II transcription factor activity // not recorded /// 0001077 // RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // sequence-specific DNA binding transcription factor activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation",-1.95654393539533,2.21387727338433,-4.84666968990501,3.23339256187126e-05,0.0411129624000724,1.58318063949737,"2002"
"ETNK1","222262_s_at","AL137750","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AL137750.1 /DB_XREF=gi:6808386 /FEA=mRNA /CNT=1 /TID=Hs.120439.1 /TIER=ConsEnd /STK=0 /UG=Hs.120439 /LL=55500 /UG_GENE=EKI1 /UG_TITLE=ethanolamine kinase /DEF=Homo sapiens mRNA; cDNA DKFZp434E1212 (from clone DKFZp434E1212).","AL137750","ethanolamine kinase 1","55500","NM_001039481 /// NM_018638 /// XM_005253420","0006629 // lipid metabolic process // inferred from electronic annotation /// 0006644 // phospholipid metabolic process // traceable author statement /// 0006646 // phosphatidylethanolamine biosynthetic process // inferred from direct assay /// 0006646 // phosphatidylethanolamine biosynthetic process // inferred from electronic annotation /// 0006646 // phosphatidylethanolamine biosynthetic process // traceable author statement /// 0008152 // metabolic process // inferred from electronic annotation /// 0008654 // phospholipid biosynthetic process // inferred from electronic annotation /// 0016310 // phosphorylation // inferred from electronic annotation /// 0044281 // small molecule metabolic process // traceable author statement /// 0046474 // glycerophospholipid biosynthetic process // traceable author statement","0005737 // cytoplasm // inferred from electronic annotation /// 0005737 // cytoplasm // non-traceable author statement /// 0005829 // cytosol // traceable author statement /// 0016020 // membrane // inferred from direct assay","0000166 // nucleotide binding // inferred from electronic annotation /// 0004305 // ethanolamine kinase activity // inferred from direct assay /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016772 // transferase activity, transferring phosphorus-containing groups // inferred from electronic annotation",1.28910445420906,6.50990889271532,4.4805374512107,9.23405274006555e-05,0.049551216676068,1.3936671689096,"55500"
"FAM210B","224690_at","BG432350","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:BG432350 /DB_XREF=gi:13338856 /DB_XREF=602496672F1 /CLONE=IMAGE:4610561 /FEA=mRNA /CNT=190 /TID=Hs.326292.0 /TIER=Stack /STK=30 /UG=Hs.326292 /UG_TITLE=Homo sapiens mRNA; cDNA DKFZp434A1114 (from clone DKFZp434A1114)","BG432350","family with sequence similarity 210, member B","116151","NM_080821","","0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation","",-0.789585390927398,8.60244615210178,-4.52236344626364,8.19494139624738e-05,0.0490147523319028,1.50351833656791,"116151"
"FAM223B","244164_at","BE551248","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:BE551248 /DB_XREF=gi:9792940 /DB_XREF=7b56f06.x1 /CLONE=IMAGE:3232259 /FEA=EST /CNT=3 /TID=Hs.270271.0 /TIER=ConsEnd /STK=3 /UG=Hs.270271 /UG_TITLE=ESTs, Weakly similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY (H.sapiens)","BE551248","family with sequence similarity 223, member B (non-protein coding)","286967","NM_173168 /// NR_027402","","","",-1.17565257726839,4.6382938857368,-4.73681910900029,4.43388653890027e-05,0.0442635642238121,1.93217353144241,"286967"
"FEZ1","203562_at","NM_005103","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_005103.2 /DB_XREF=gi:12025681 /GEN=FEZ1 /FEA=FLmRNA /CNT=101 /TID=Hs.79226.1 /TIER=FL+Stack /STK=49 /UG=Hs.79226 /LL=9638 /DEF=Homo sapiens fasciculation and elongation protein zeta 1 (zygin I) (FEZ1), transcript variant 1, mRNA. /PROD=zygin 1, isoform 1 /FL=gb:U60060.1 gb:U69139.1 gb:NM_005103.2","NM_005103","fasciculation and elongation protein zeta 1 (zygin I)","9638","NM_005103 /// NM_022549 /// XM_005271734 /// XM_005271735","0006810 // transport // inferred from electronic annotation /// 0007155 // cell adhesion // traceable author statement /// 0007399 // nervous system development // traceable author statement /// 0007411 // axon guidance // traceable author statement /// 0010976 // positive regulation of neuron projection development // inferred from electronic annotation /// 0045666 // positive regulation of neuron differentiation // inferred from electronic annotation /// 0051654 // establishment of mitochondrion localization // inferred from electronic annotation /// 0071363 // cellular response to growth factor stimulus // inferred from electronic annotation","0005737 // cytoplasm // inferred from direct assay /// 0005813 // centrosome // inferred from electronic annotation /// 0005815 // microtubule organizing center // inferred from electronic annotation /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005874 // microtubule // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from electronic annotation /// 0015630 // microtubule cytoskeleton // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0030424 // axon // inferred from electronic annotation /// 0030425 // dendrite // inferred from electronic annotation /// 0042995 // cell projection // inferred from electronic annotation","0005080 // protein kinase C binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0043015 // gamma-tubulin binding // inferred from electronic annotation /// 0047485 // protein N-terminus binding // inferred from electronic annotation",-1.17252312007306,6.28735158459362,-4.98181728992224,2.19096423282418e-05,0.0392349920845241,2.71323588030411,"9638"
"GLTP","226177_at","AI052020","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AI052020 /DB_XREF=gi:3308011 /DB_XREF=oy29e06.x1 /CLONE=IMAGE:1667266 /FEA=EST /CNT=56 /TID=Hs.3593.0 /TIER=Stack /STK=34 /UG=Hs.3593 /UG_TITLE=ESTs","AI052020","glycolipid transfer protein","51228","NM_016433","0006810 // transport // inferred from electronic annotation /// 0006869 // lipid transport // inferred from electronic annotation /// 0046836 // glycolipid transport // inferred from direct assay","0005737 // cytoplasm // inferred from electronic annotation /// 0016020 // membrane // inferred by curator /// 0070062 // extracellular vesicular exosome // inferred from direct assay","0008289 // lipid binding // inferred from direct assay /// 0017089 // glycolipid transporter activity // inferred from direct assay /// 0051861 // glycolipid binding // inferred from direct assay",-0.702750722573228,10.616781247229,-4.48970443768404,8.99569909585682e-05,0.049551216676068,1.39549799211145,"51228"
